Наименование,Марка,Масса и размер
Кирпич полнотелый одинарный с тех.пустотами М-150,Наличие на складе,в наличии,"Марка, кгс/см2",M-150,"Размер, (ВхШхГ) мм.",250x120x65,"Масса, кг.","3,1","Кол-во на поддоне, шт.",416,"Кол-во в машине, шт.",5480 (10816)
Кирпич полнотелый одинарный с тех.пустотами М-200,Наличие на складе,в наличии,"Марка, кгс/см2",М-200,"Размер, (ВхШхГ) мм.",250x120x65,"Масса, кг.","3,1","Кол-во на поддоне, шт.",416,"Кол-во в машине, шт.",5480 (10816)
Кирпич полнотелый одинарный М-100,Наличие на складе,в наличии,"Марка, кгс/см2",M-100,"Размер, (ВхШхГ) мм.",250x120x65,"Масса, кг.","3,5","Кол-во на поддоне, шт.",416,"Кол-во в машине, шт.",5408 (10816)
Кирпич полнотелый одинарный М-125,Наличие на складе,в наличии,"Марка, кгс/см2",M-125,"Размер, (ВхШхГ) мм.",250x120x65,"Масса, кг.","3,5","Кол-во на поддоне, шт.",416,"Кол-во в машине, шт.",5408 (10816)
Кирпич полнотелый одинарный М-150,Наличие на складе,в наличии,"Марка, кгс/см2",М-150,"Размер, (ВхШхГ) мм.",250x120x65,"Масса, кг.","3,5","Кол-во на поддоне, шт.",416,"Кол-во в машине, шт.",5408 (10816)
Кирпич полнотелый одинарный М-200,Наличие на складе,в наличии,"Марка, кгс/см2",М-200,"Размер, (ВхШхГ) мм.",250x120x65,"Масса, кг.","3,5","Кол-во на поддоне, шт.",416,"Кол-во в машине, шт.",5408 (10816)
"Кирпич полнотелый полуторный (1,4 NF) с тех.пустотами М-150",Наличие на складе,в наличии,"Марка, кгс/см2",M-150,"Размер, (ВхШхГ) мм.",250x120x88,"Масса, кг.",4,"Кол-во на поддоне, шт.",288,"Кол-во в машине, шт.",4608
"Кирпич полнотелый полуторный (1,4 NF) с тех.пустотами М-200",Наличие на складе,в наличии,"Марка, кгс/см2",M-200,"Размер, (ВхШхГ) мм.",250x120x88,"Масса, кг.",4,"Кол-во на поддоне, шт.",288,"Кол-во в машине, шт.",4608
"Кирпич полнотелый полуторный (1,4 NF) М-125",Наличие на складе,под запрос,"Марка, кгс/см2",M-125,"Размер, (ВхШхГ) мм.",250x120x88,"Масса, кг.",5,"Кол-во на поддоне, шт.",288,"Кол-во в машине, шт.",3744
"Кирпич полнотелый полуторный (1,4 NF) М-150",Наличие на складе,под запрос,"Марка, кгс/см2",M-150,"Размер, (ВхШхГ) мм.",250x120x88,"Масса, кг.",5,"Кол-во на поддоне, шт.",288,"Кол-во в машине, шт.",3744
Кирпич полнотелый М-200 (печной),Наличие на складе,под запрос,"Марка, кгс/см2",М-200,"Размер, (ВхШхГ) мм.",250x120x65,"Масса, кг.","3,5","Кол-во на поддоне, шт.",392,"Кол-во в машине, шт.",5488
Кирпич пустотелый одинарный рифленый,Наличие на складе,в наличии,"Марка, кгс/см2","M-150, М-200","Размер, (ВхШхГ) мм.",250x120x65,"Масса, кг.","2,2","Кол-во на поддоне, шт.",416,"Кол-во в машине, шт.",9152
Кирпич пустотелый одинарный гладкий,Наличие на складе,под запрос,"Марка, кгс/см2","M-150, М-200","Размер, (ВхШхГ) мм.",250x120x65,"Масса, кг.","2,2","Кол-во на поддоне, шт.",416,"Кол-во в машине, шт.",9152
Кирпич пустотелый полуторный рифленый,Наличие на складе,в наличии,"Марка, кгс/см2","M-150, М-200","Размер, (ВхШхГ) мм.",250x120x88,"Масса, кг.","2,8","Кол-во на поддоне, шт.",396,"Кол-во в машине, шт.",7128
Кирпич пустотелый полуторный гладкий,Наличие на складе,в наличии,"Марка, кгс/см2","M-150, М-200","Размер, (ВхШхГ) мм.",250x120x88,"Масса, кг.","3,3","Кол-во на поддоне, шт.",288,"Кол-во в машине, шт.",6912
"Кирпич пустотелый двойной (2,1NF) М-125",Наличие на складе,в наличии,"Марка, кгс/см2",M-125,"Размер, (ВхШхГ) мм.",250x120x140,"Масса, кг.","4,1","Кол-во на поддоне, шт.",252,"Кол-во в машине, шт.",5040
"Кирпич двойной (2,1NF) М-150, М-200",Наличие на складе,в наличии,"Марка, кгс/см2","М-150, М-200","Размер, (ВхШхГ) мм.",250x120x140,"Масса, кг.","4,1","Кол-во на поддоне, шт.",252,"Кол-во в машине, шт.",5040
"Кирпич двойной (2,1NF) поризованный М-125",Наличие на складе,под запрос,"Марка, кгс/см2",М-125,"Размер, (ВхШхГ) мм.",250x120x140,"Масса, кг.",4,"Кол-во на поддоне, шт.",252,"Кол-во в машине, шт.",5040
"Кирпич двойной (2,1NF) поризованный М-150",Наличие на складе,под запрос,"Марка, кгс/см2",М-150,"Размер, (ВхШхГ) мм.",250x120x140,"Масса, кг.",4,"Кол-во на поддоне, шт.",252,"Кол-во в машине, шт.",5040
Наличие на складе,в наличии
"Марка, кгс/см2",М-150
Цвет,красный
Вид размера,1 NF
"Размер, (ВхШхГ) мм.",250x120x65
Поверхность,рифленый
"Масса, кг.","3,5"
